iter	Passed	Remaining
827	15606	3241
828	15624	3222
829	15642	3203
830	15661	3185
831	15681	3166
832	15698	3147
833	15716	3128
834	15734	3109
835	15752	3090
836	15768	3070
837	15785	3051
838	15804	3032
839	15821	3013
840	15839	2994
841	15858	2975
842	15875	2956
843	15894	2937
844	15913	2919
845	15931	2900
846	15947	2880
847	15967	2862
848	15984	2842
849	16001	2823
850	16018	2804
851	16038	2786
852	16055	2766
853	16071	2747
854	16089	2728
855	16106	2709
856	16125	2690
857	16143	2671
858	16160	2652
859	16179	2633
860	16197	2614
861	16215	2595
862	16234	2577
863	16252	2558
864	16268	2539
865	16287	2520
866	16304	2501
867	16370	2489
868	16432	2477
869	16471	2461
870	16491	2442
871	16512	2423
872	16530	2404
873	16547	2385
874	16573	2367
875	16595	2349
876	16621	2331
877	16642	2312
878	16662	2293
879	16679	2274
880	16696	2255
881	16715	2236
882	16734	2217
883	16751	2198
884	16768	2178
885	16787	2160
886	16806	2141
887	16824	2122
888	16844	2103
889	16861	2083
890	16878	2064
891	16896	2045
892	16915	2026
893	16932	2007
894	16952	1988
895	16971	1969
896	16990	1951
897	17009	1932
898	17031	1913
899	17048	1894
900	17066	1875
901	17084	1856
902	17103	1837
903	17124	1818
904	17143	1799
905	17164	1780
906	17183	1761
907	17200	1742
908	17217	1723
909	17233	1704
910	17253	1685
911	17273	1666
912	17292	1647
913	17309	1628
914	17325	1609
915	17344	1590
916	17365	1571
917	17383	1552
918	17402	1533
919	17420	1514
920	17439	1495
921	17455	1476
922	17472	1457
923	17491	1438
924	17510	1419
925	17531	1401
926	17554	1382
927	17575	1363
928	17593	1344
929	17611	1325
930	17632	1306
931	17652	1287
932	17671	1268
933	17689	1250
934	17706	1230
935	17723	1211
936	17742	1192
937	17761	1173
938	17777	1154
939	17794	1135
940	17813	1116
941	17832	1097
942	17850	1078
943	17866	1059
944	17884	1040
945	17905	1022
946	17922	1003
947	17942	984
948	17959	965
949	17978	946
950	17996	927
951	18014	908
952	18035	889
953	18055	870
954	18074	851
955	18093	832
956	18113	813
957	18133	794
958	18149	775
959	18167	756
960	18184	737
961	18203	719
962	18219	700
963	18237	681
964	18254	662
965	18274	643
966	18292	624
967	18312	605
968	18331	586
969	18349	567
970	18369	548
971	18387	529
972	18406	510
973	18426	491
974	18443	472
975	18460	453
976	18479	435
977	18497	416
978	18514	397
979	18532	378
980	18552	359
981	18570	340
982	18590	321
983	18609	302
984	18627	283
985	18645	264
986	18666	245
987	18688	226
988	18709	208
989	18730	189
990	18750	170
991	18773	151
992	18795	132
993	18815	113
994	18838	94
995	18857	75
996	18875	56
997	18893	37
998	18914	18
999	18933	0
